time,x,y,phi,delta,v,theta,cost
2.160000000000001,0.15572006386043497,1.5213365617628312,0.4569879734378266,-0.2770298850111221,1.157992427411805,0.05697114099373955,0.039032
2.200000000000001,0.19728669369663596,1.5417749967119456,0.4306467626544558,-0.2602414868491502,1.1524613917124467,0.06788094075279345,0.038166
2.240000000000001,0.2391761733465072,1.5610191934913253,0.4060965566935925,-0.24303757964673406,1.1466606789688238,0.07941501897785289,0.0374356
2.280000000000001,0.2813122739287824,1.579137641770071,0.3833524415363628,-0.22545614726718835,1.1405932259482505,0.09151651222306532,0.0368123
2.320000000000001,0.3236244470316063,1.5962023614760352,0.3624243385948041,-0.2075292429075113,1.1342785049078397,0.10413150281392304,0.0362717
2.360000000000001,0.36604827987397487,1.6122883420080487,0.34331757181941236,-0.18928973800036433,1.127734239640115,0.11721079810780949,0.0357934
2.4000000000000012,0.4085252070341407,1.6274727380592795,0.3260331585179789,-0.17077125883588629,1.1209764992402673,0.13070942139687675,0.0353597
2.4400000000000013,0.45100215985745457,1.6418341369397615,0.31056808492494875,-0.15200811455975766,1.1140197833085952,0.14458615059044494,0.0349562
2.4800000000000013,0.49343116814668103,1.6554518966585052,0.2969155650048083,-0.13303747171114277,1.106872139237902,0.158803782503363,0.0345705
2.5200000000000014,0.5357687377438773,1.6684054943362276,0.28506513121317023,-0.11390415296252332,1.099524794325978,0.1733302411326947,0.0341927
2.5600000000000014,0.5779748035193235,1.6807738268470735,0.2750023395534774,-0.09464206425600827,1.0919917588467982,0.18813236161908453,0.0338147
2.6000000000000014,0.6200131911422374,1.6926350058900086,0.26670969702036956,-0.07528533059920522,1.0842857545338094,0.20317932762206956,0.0334297
2.6400000000000015,0.661851150898898,1.7040659323343514,0.26016686609845346,-0.055868194648772324,1.0764182464939593,0.21844240593822445,0.0330323
2.6800000000000015,0.7034588954984947,1.7151419232855456,0.2553508508551845,-0.03642489837198851,1.0683994779956028,0.2338947056996051,0.0326183
2.7200000000000015,0.7448091491966136,1.7259363862379697,0.25223616584723973,-0.016989561861683437,1.0602384825917954,0.24951096391029493,0.0321847
2.7600000000000016,0.7858767134138102,1.7365205344425312,0.2507949881985115,0.0023918675743244827,1.0519173859239588,0.26527164048927676,0.0317312
2.8000000000000016,0.8266370576247952,1.7469628827749977,0.2509962723492633,0.02168782821124357,1.0434455498822959,0.28115337002144364,0.0312556
2.8400000000000016,0.8670670441328949,1.757329269602892,0.25280696167794303,0.040867922930758666,1.0348326587642749,0.2971336681168734,0.0307571
2.8800000000000017,0.9071446291456161,1.7676826743655936,0.25619216343552204,0.059902375635723704,1.0260873632201568,0.3131910500980186,0.0302356
2.9200000000000017,0.9468485415999595,1.7780830483470422,0.2611152590037432,0.07876217422949597,1.0172173147021422,0.32930490515575433,0.0296913
2.9600000000000017,0.9861579959770068,1.78858716663972,0.26753800541568545,0.09741921775930465,1.008229209057968,0.34545538367149387,0.0291252
3.0000000000000018,1.025052440710852,1.799248498153284,0.2754206299701517,0.11583906511940782,0.9991112627076818,0.3616266590351523,0.0285421
3.040000000000002,1.0635106667162366,1.8101168999193995,0.2847211566942261,0.13399312583882192,0.9898602861814622,0.3778015185121543,0.0279431
3.080000000000002,1.1015110077216999,1.8212385680192535,0.29539587640395865,0.1518593161772525,0.9804844440954994,0.39396074577627915,0.0273271
3.120000000000002,1.139031675411759,1.8326560584735243,0.3073999506866525,0.16941676370943093,0.9709911029535709,0.4100856560758976,0.0266958
